# time       Tpb[ms]      <Lnu_e>     <Lnu_ae>      <Lnu_x>    Lnu_e@000   Lnu_ae@000    Lnu_x@000    Lnu_e@045   Lnu_ae@045    Lnu_x@045    Lnu_e@090   Lnu_ae@090    Lnu_x@090    Lnu_e@135   Lnu_ae@135    Lnu_x@135    Lnu_e@180   Lnu_ae@180    Lnu_x@180      <Enu_e>     <Enu_ae>      <Enu_x>    Enu_e@000   Enu_ae@000    Enu_x@000    Enu_e@045   Enu_ae@045    Enu_x@045    Enu_e@090   Enu_ae@090    Enu_x@090    Enu_e@135   Enu_ae@135    Enu_x@135    Enu_e@180   Enu_ae@180    Enu_x@180
000334   1.21506E+01  1.73038E+02  5.99843E+00  2.03059E+01  1.48468E+02  5.63969E+00  1.88064E+01  1.59907E+02  5.89112E+00  1.95972E+01  1.76854E+02  6.13578E+00  2.06977E+01  1.71332E+02  5.88865E+00  2.02178E+01  1.57675E+02  5.52861E+00  1.89966E+01  1.16426E+01  1.09509E+01  1.55967E+01  1.14797E+01  1.08940E+01  1.54854E+01  1.15106E+01  1.09018E+01  1.54696E+01  1.15673E+01  1.09481E+01  1.55683E+01  1.15709E+01  1.09593E+01  1.55822E+01  1.15863E+01  1.09015E+01  1.55325E+01
000336   1.25508E+01  1.75982E+02  7.01608E+00  2.07242E+01  1.58142E+02  6.70832E+00  1.97162E+01  1.60918E+02  6.71860E+00  1.96250E+01  1.71206E+02  6.90990E+00  2.03896E+01  1.64426E+02  6.87442E+00  2.05399E+01  1.55564E+02  6.69594E+00  1.99183E+01  1.19458E+01  1.12891E+01  1.59244E+01  1.18110E+01  1.12234E+01  1.57102E+01  1.17908E+01  1.12029E+01  1.57177E+01  1.18667E+01  1.12420E+01  1.58364E+01  1.18294E+01  1.12903E+01  1.58665E+01  1.17747E+01  1.12658E+01  1.58538E+01
000338   1.29510E+01  1.98631E+02  8.30090E+00  2.20836E+01  1.78249E+02  8.00701E+00  2.10331E+01  1.86033E+02  8.11359E+00  2.13587E+01  2.00334E+02  8.41853E+00  2.21967E+01  1.87946E+02  8.30571E+00  2.17775E+01  1.74032E+02  7.97763E+00  2.11125E+01  1.23972E+01  1.16147E+01  1.61258E+01  1.22183E+01  1.15588E+01  1.59937E+01  1.23481E+01  1.16239E+01  1.61044E+01  1.24769E+01  1.16556E+01  1.62111E+01  1.23482E+01  1.16540E+01  1.61461E+01  1.21895E+01  1.15879E+01  1.60151E+01
000340   1.33512E+01  2.01101E+02  9.19007E+00  2.27956E+01  1.78598E+02  8.90873E+00  2.13097E+01  1.91239E+02  8.89584E+00  2.20251E+01  2.13771E+02  9.18851E+00  2.32181E+01  1.97597E+02  9.05152E+00  2.20864E+01  1.76531E+02  8.82997E+00  2.11443E+01  1.27208E+01  1.17963E+01  1.62633E+01  1.25774E+01  1.18472E+01  1.61921E+01  1.28298E+01  1.18575E+01  1.64412E+01  1.29944E+01  1.18633E+01  1.65442E+01  1.28097E+01  1.19081E+01  1.63253E+01  1.25125E+01  1.18726E+01  1.60774E+01
000342   1.37514E+01  1.98438E+02  9.80708E+00  2.28954E+01  1.77372E+02  9.67133E+00  2.17023E+01  1.94463E+02  9.48729E+00  2.23464E+01  2.22278E+02  9.71088E+00  2.35410E+01  2.05422E+02  9.76568E+00  2.27941E+01  1.75886E+02  9.65538E+00  2.17347E+01  1.26974E+01  1.19123E+01  1.60346E+01  1.24987E+01  1.19794E+01  1.59464E+01  1.26545E+01  1.18493E+01  1.59087E+01  1.28029E+01  1.18053E+01  1.59254E+01  1.27095E+01  1.19618E+01  1.60097E+01  1.25020E+01  1.20566E+01  1.61168E+01
000344   1.41516E+01  1.91164E+02  1.04131E+01  2.39555E+01  1.73979E+02  1.02468E+01  2.30878E+01  1.84708E+02  1.02393E+01  2.38377E+01  2.03700E+02  1.05907E+01  2.49733E+01  1.95344E+02  1.08782E+01  2.44937E+01  1.82273E+02  1.09449E+01  2.38928E+01  1.25467E+01  1.18284E+01  1.59451E+01  1.24200E+01  1.19511E+01  1.59818E+01  1.25222E+01  1.17982E+01  1.59617E+01  1.26304E+01  1.17387E+01  1.59707E+01  1.25730E+01  1.18981E+01  1.59563E+01  1.24709E+01  1.19944E+01  1.59295E+01
000346   1.45518E+01  1.84575E+02  1.07353E+01  2.48498E+01  1.74354E+02  1.08265E+01  2.42310E+01  1.82735E+02  1.05197E+01  2.40891E+01  1.88955E+02  1.05371E+01  2.45145E+01  1.79147E+02  1.09562E+01  2.48661E+01  1.78062E+02  1.13708E+01  2.53644E+01  1.23654E+01  1.16549E+01  1.59174E+01  1.22924E+01  1.17373E+01  1.59659E+01  1.23991E+01  1.16640E+01  1.59843E+01  1.24802E+01  1.16256E+01  1.59671E+01  1.23859E+01  1.17486E+01  1.59480E+01  1.22506E+01  1.18384E+01  1.59457E+01
000348   1.49520E+01  1.80452E+02  1.05507E+01  2.58491E+01  1.70587E+02  1.09985E+01  2.59692E+01  1.81344E+02  1.07891E+01  2.65239E+01  1.91228E+02  1.06737E+01  2.68148E+01  1.86437E+02  1.09386E+01  2.64340E+01  1.81354E+02  1.12774E+01  2.64584E+01  1.22260E+01  1.14463E+01  1.59854E+01  1.21858E+01  1.15319E+01  1.61238E+01  1.22343E+01  1.14596E+01  1.61056E+01  1.22967E+01  1.14354E+01  1.60766E+01  1.23466E+01  1.15861E+01  1.61167E+01  1.23258E+01  1.16665E+01  1.60786E+01
000350   1.53522E+01  1.71464E+02  1.05645E+01  2.70073E+01  1.63817E+02  1.09508E+01  2.69504E+01  1.72494E+02  1.09139E+01  2.69591E+01  1.77958E+02  1.07668E+01  2.70858E+01  1.71634E+02  1.06681E+01  2.72360E+01  1.69447E+02  1.08680E+01  2.76984E+01  1.20262E+01  1.12702E+01  1.58926E+01  1.19547E+01  1.13818E+01  1.58968E+01  1.20517E+01  1.13408E+01  1.59080E+01  1.21183E+01  1.12796E+01  1.59195E+01  1.21121E+01  1.13081E+01  1.59578E+01  1.20703E+01  1.13780E+01  1.59527E+01
000352   1.57524E+01  1.66170E+02  1.03626E+01  2.81143E+01  1.60895E+02  1.08180E+01  2.83155E+01  1.72053E+02  1.07221E+01  2.82401E+01  1.80354E+02  1.05390E+01  2.81362E+01  1.73295E+02  1.06388E+01  2.83838E+01  1.67460E+02  1.10189E+01  2.95126E+01  1.18945E+01  1.11306E+01  1.59083E+01  1.18280E+01  1.11836E+01  1.59233E+01  1.19139E+01  1.11549E+01  1.59213E+01  1.20031E+01  1.11385E+01  1.59232E+01  1.19613E+01  1.12124E+01  1.59564E+01  1.18870E+01  1.13202E+01  1.60474E+01
